Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
media_leaf,campus-leaf-4,Ethernet53/1,192.168.99.225/31,media_spine,media-spine-1,Ethernet25/1,192.168.99.224/31
media_leaf,campus-leaf-4,Ethernet54/1,192.168.99.227/31,media_spine,media-spine-2,Ethernet25/1,192.168.99.226/31
media_leaf,media-leaf-1,Ethernet49/1,192.168.99.129/31,media_spine,media-spine-1,Ethernet1/1,192.168.99.128/31
media_leaf,media-leaf-1,Ethernet50/1,192.168.99.133/31,media_spine,media-spine-1,Ethernet2/1,192.168.99.132/31
media_leaf,media-leaf-1,Ethernet51/1,192.168.99.131/31,media_spine,media-spine-2,Ethernet1/1,192.168.99.130/31
media_leaf,media-leaf-1,Ethernet52/1,192.168.99.135/31,media_spine,media-spine-2,Ethernet2/1,192.168.99.134/31
media_leaf,media-leaf-2,Ethernet49/1,192.168.99.161/31,media_spine,media-spine-1,Ethernet3/1,192.168.99.160/31
media_leaf,media-leaf-2,Ethernet50/1,192.168.99.165/31,media_spine,media-spine-1,Ethernet4/1,192.168.99.164/31
media_leaf,media-leaf-2,Ethernet51/1,192.168.99.163/31,media_spine,media-spine-2,Ethernet3/1,192.168.99.162/31
media_leaf,media-leaf-2,Ethernet52/1,192.168.99.167/31,media_spine,media-spine-2,Ethernet4/1,192.168.99.166/31
media_leaf,media-leaf-3,Ethernet49/1,192.168.99.193/31,media_spine,media-spine-1,Ethernet17/1,192.168.99.192/31
media_leaf,media-leaf-3,Ethernet50/1,192.168.99.197/31,media_spine,media-spine-1,Ethernet18/1,192.168.99.196/31
media_leaf,media-leaf-3,Ethernet51/1,192.168.99.195/31,media_spine,media-spine-2,Ethernet17/1,192.168.99.194/31
media_leaf,media-leaf-3,Ethernet52/1,192.168.99.199/31,media_spine,media-spine-2,Ethernet18/1,192.168.99.198/31
media_leaf,media-PTP-1,Ethernet51/1,192.168.99.65/31,media_spine,media-spine-1,Ethernet27/1,192.168.99.64/31
media_leaf,media-PTP-1,Ethernet52/1,192.168.99.67/31,media_spine,media-spine-2,Ethernet27/1,192.168.99.66/31
media_leaf,media-PTP-2,Ethernet51/1,192.168.99.97/31,media_spine,media-spine-1,Ethernet28/1,192.168.99.96/31
media_leaf,media-PTP-2,Ethernet52/1,192.168.99.99/31,media_spine,media-spine-2,Ethernet28/1,192.168.99.98/31
