Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_leaf,campus-leaf-4,Ethernet53/1,media_spine,media-spine-1,Ethernet25/1,True
media_leaf,campus-leaf-4,Ethernet54/1,media_spine,media-spine-2,Ethernet25/1,True
media_leaf,media-leaf-1,Ethernet49/1,media_spine,media-spine-1,Ethernet1/1,True
media_leaf,media-leaf-1,Ethernet50/1,media_spine,media-spine-1,Ethernet2/1,True
media_leaf,media-leaf-1,Ethernet51/1,media_spine,media-spine-2,Ethernet1/1,True
media_leaf,media-leaf-1,Ethernet52/1,media_spine,media-spine-2,Ethernet2/1,True
media_leaf,media-leaf-2,Ethernet49/1,media_spine,media-spine-1,Ethernet3/1,True
media_leaf,media-leaf-2,Ethernet50/1,media_spine,media-spine-1,Ethernet4/1,True
media_leaf,media-leaf-2,Ethernet51/1,media_spine,media-spine-2,Ethernet3/1,True
media_leaf,media-leaf-2,Ethernet52/1,media_spine,media-spine-2,Ethernet4/1,True
media_leaf,media-leaf-3,Ethernet49/1,media_spine,media-spine-1,Ethernet17/1,True
media_leaf,media-leaf-3,Ethernet50/1,media_spine,media-spine-1,Ethernet18/1,True
media_leaf,media-leaf-3,Ethernet51/1,media_spine,media-spine-2,Ethernet17/1,True
media_leaf,media-leaf-3,Ethernet52/1,media_spine,media-spine-2,Ethernet18/1,True
media_leaf,media-PTP-1,Ethernet51/1,media_spine,media-spine-1,Ethernet27/1,True
media_leaf,media-PTP-1,Ethernet52/1,media_spine,media-spine-2,Ethernet27/1,True
media_leaf,media-PTP-2,Ethernet51/1,media_spine,media-spine-1,Ethernet28/1,True
media_leaf,media-PTP-2,Ethernet52/1,media_spine,media-spine-2,Ethernet28/1,True
media_spine,media-spine-1,Ethernet1/1,media_leaf,media-leaf-1,Ethernet49/1,True
media_spine,media-spine-1,Ethernet2/1,media_leaf,media-leaf-1,Ethernet50/1,True
media_spine,media-spine-1,Ethernet3/1,media_leaf,media-leaf-2,Ethernet49/1,True
media_spine,media-spine-1,Ethernet4/1,media_leaf,media-leaf-2,Ethernet50/1,True
media_spine,media-spine-1,Ethernet17/1,media_leaf,media-leaf-3,Ethernet49/1,True
media_spine,media-spine-1,Ethernet18/1,media_leaf,media-leaf-3,Ethernet50/1,True
media_spine,media-spine-1,Ethernet25/1,media_leaf,campus-leaf-4,Ethernet53/1,True
media_spine,media-spine-1,Ethernet27/1,media_leaf,media-PTP-1,Ethernet51/1,True
media_spine,media-spine-1,Ethernet28/1,media_leaf,media-PTP-2,Ethernet51/1,True
media_spine,media-spine-2,Ethernet1/1,media_leaf,media-leaf-1,Ethernet51/1,True
media_spine,media-spine-2,Ethernet2/1,media_leaf,media-leaf-1,Ethernet52/1,True
media_spine,media-spine-2,Ethernet3/1,media_leaf,media-leaf-2,Ethernet51/1,True
media_spine,media-spine-2,Ethernet4/1,media_leaf,media-leaf-2,Ethernet52/1,True
media_spine,media-spine-2,Ethernet17/1,media_leaf,media-leaf-3,Ethernet51/1,True
media_spine,media-spine-2,Ethernet18/1,media_leaf,media-leaf-3,Ethernet52/1,True
media_spine,media-spine-2,Ethernet25/1,media_leaf,campus-leaf-4,Ethernet54/1,True
media_spine,media-spine-2,Ethernet27/1,media_leaf,media-PTP-1,Ethernet52/1,True
media_spine,media-spine-2,Ethernet28/1,media_leaf,media-PTP-2,Ethernet52/1,True
