Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
media_leaf,media-leaf-1,Ethernet49/1,192.168.102.65/31,media_spine,media-spine-1,Ethernet1/1,192.168.102.64/31
media_leaf,media-leaf-1,Ethernet50/1,192.168.102.69/31,media_spine,media-spine-1,Ethernet2/1,192.168.102.68/31
media_leaf,media-leaf-1,Ethernet51/1,192.168.102.67/31,media_spine,media-spine-2,Ethernet1/1,192.168.102.66/31
media_leaf,media-leaf-1,Ethernet52/1,192.168.102.71/31,media_spine,media-spine-2,Ethernet2/1,192.168.102.70/31
media_leaf,media-leaf-2,Ethernet49/1,192.168.102.97/31,media_spine,media-spine-1,Ethernet3/1,192.168.102.96/31
media_leaf,media-leaf-2,Ethernet50/1,192.168.102.101/31,media_spine,media-spine-1,Ethernet4/1,192.168.102.100/31
media_leaf,media-leaf-2,Ethernet51/1,192.168.102.99/31,media_spine,media-spine-2,Ethernet3/1,192.168.102.98/31
media_leaf,media-leaf-2,Ethernet52/1,192.168.102.103/31,media_spine,media-spine-2,Ethernet4/1,192.168.102.102/31
media_leaf,media-leaf-3,Ethernet49/1,192.168.102.129/31,media_spine,media-spine-1,Ethernet17/1,192.168.102.128/31
media_leaf,media-leaf-3,Ethernet50/1,192.168.102.133/31,media_spine,media-spine-1,Ethernet18/1,192.168.102.132/31
media_leaf,media-leaf-3,Ethernet51/1,192.168.102.131/31,media_spine,media-spine-2,Ethernet17/1,192.168.102.130/31
media_leaf,media-leaf-3,Ethernet52/1,192.168.102.135/31,media_spine,media-spine-2,Ethernet18/1,192.168.102.134/31
media_leaf,media-leaf-4,Ethernet53/1,192.168.102.161/31,media_spine,media-spine-1,Ethernet25/1,192.168.102.160/31
media_leaf,media-leaf-4,Ethernet54/1,192.168.102.163/31,media_spine,media-spine-2,Ethernet25/1,192.168.102.162/31
ptp_leaf,media-PTP-1,Ethernet1,,ptp_leaf,media-PTP-2,Ethernet1,
ptp_leaf,media-PTP-1,Ethernet2,,ptp_leaf,media-PTP-2,Ethernet2,
ptp_leaf,media-PTP-1,Ethernet51,192.168.100.1/31,media_spine,media-spine-1,Ethernet27/1,192.168.100.0/31
ptp_leaf,media-PTP-1,Ethernet52,192.168.100.3/31,media_spine,media-spine-2,Ethernet27/1,192.168.100.2/31
ptp_leaf,media-PTP-2,Ethernet51,192.168.100.65/31,media_spine,media-spine-1,Ethernet28/1,192.168.100.64/31
ptp_leaf,media-PTP-2,Ethernet52,192.168.100.67/31,media_spine,media-spine-2,Ethernet28/1,192.168.100.66/31
