Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_leaf,media-leaf-1,Ethernet6,network_port,DirectOut EXBOX,,True
media_leaf,media-leaf-1,Ethernet13,network_port,C100-1 P1-1,,True
media_leaf,media-leaf-1,Ethernet14,network_port,C100-1 P1-2,,True
media_leaf,media-leaf-1,Ethernet16,network_port,C100-1 P1-4,,True
media_leaf,media-leaf-1,Ethernet17,network_port,C100-2 P1-1,,True
media_leaf,media-leaf-1,Ethernet18,network_port,C100-2 P1-2,,True
media_leaf,media-leaf-1,Ethernet19,network_port,C100-2 P1-3,,True
media_leaf,media-leaf-1,Ethernet20,network_port,C100-2 P1-4,,True
media_leaf,media-leaf-1,Ethernet21,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet22,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet23,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet24,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet25,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet26,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet27,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet28,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet29,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet30,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet31,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet32,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet33,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet34,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet35,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet36,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet37,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet38,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet39,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet40,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-1,Ethernet49/1,media_spine,media-spine-1,Ethernet1/1,True
media_leaf,media-leaf-1,Ethernet50/1,media_spine,media-spine-1,Ethernet2/1,True
media_leaf,media-leaf-1,Ethernet51/1,media_spine,media-spine-2,Ethernet1/1,True
media_leaf,media-leaf-1,Ethernet52/1,media_spine,media-spine-2,Ethernet2/1,True
media_leaf,media-leaf-1,Ethernet53/1,network_port,EVS Neuron,,True
media_leaf,media-leaf-1,Ethernet54/1,network_port,Imagine SNP-2118212563-Data-A,,True
media_leaf,media-leaf-2,Ethernet13,network_port,C100-1 P2-2,,True
media_leaf,media-leaf-2,Ethernet14,network_port,C100-1 P2-2,,True
media_leaf,media-leaf-2,Ethernet15,network_port,C100-1 P2-3,,True
media_leaf,media-leaf-2,Ethernet16,network_port,C100-1 P2-4,,True
media_leaf,media-leaf-2,Ethernet17,network_port,C100-2 P2-1,,True
media_leaf,media-leaf-2,Ethernet18,network_port,C100-2 P2-2,,True
media_leaf,media-leaf-2,Ethernet19,network_port,C100-2 P2-3,,True
media_leaf,media-leaf-2,Ethernet20,network_port,C100-2 P2-4,,True
media_leaf,media-leaf-2,Ethernet21,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet22,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet23,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet24,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet25,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet26,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet27,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet28,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet29,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet30,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet31,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet32,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet33,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet34,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet35,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-2,Ethernet36,network_port,mcs senders/receivers,,True
